formula,description
TaOI2,"TaOI2 crystallizes in the monoclinic P2/m space group. The structure is two-dimensional and consists of one TaOI2 sheet oriented in the (0, 0, 1) direction. Ta(1) is bonded in a distorted linear geometry to two equivalent O(1), two equivalent I(1), and two equivalent I(2) atoms. Both Ta(1)-O(1) bond lengths are 1.95 Å. Both Ta(1)-I(1) bond lengths are 2.79 Å. Both Ta(1)-I(2) bond lengths are 2.90 Å. O(1) is bonded in a linear geometry to two equivalent Ta(1) atoms. There are two inequivalent I sites. In the first I site, I(1) is bonded in a 2-coordinate geometry to two equivalent Ta(1) atoms. In the second I site, I(2) is bonded in a water-like geometry to two equivalent Ta(1) atoms."
Ga,"Ga crystallizes in the orthorhombic Pmma space group. The structure is two-dimensional and consists of one Ga sheet oriented in the (0, 0, 1) direction. Ga(1) is bonded to six equivalent Ga(1) atoms to form a mixture of distorted corner and edge-sharing GaGa6 octahedra. The corner-sharing octahedral tilt angles range from 0-125°. There are a spread of Ga(1)-Ga(1) bond distances ranging from 2.64-2.93 Å."
PbI2,"PbI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one PbI2 sheet oriented in the (0, 0, 1) direction. Pb(1) is bonded to six equivalent I(1) atoms to form edge-sharing PbI6 octahedra. All Pb(1)-I(1) bond lengths are 3.25 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Pb(1) atoms."
Al3Te3I,"Al3Te3I crystallizes in the monoclinic P2_1/m space group. The structure is one-dimensional and consists of one Al3Te3I ribbon oriented in the (0, 1, 0) direction. There are three inequivalent Al sites. In the first Al site, Al(1) is bonded to one Te(3), two equivalent Te(1), and one I(1) atom to form AlTe3I tetrahedra that share corners with two equivalent Al(2)AlTe3 tetrahedra, corners with two equivalent Al(3)AlTe3 tetrahedra, and corners with two equivalent Al(1)Te3I tetrahedra. The Al(1)-Te(3) bond length is 2.68 Å. Both Al(1)-Te(1) bond lengths are 2.69 Å. The Al(1)-I(1) bond length is 2.52 Å. In the second Al site, Al(2) is bonded to one Al(3), one Te(1), and two equivalent Te(2) atoms to form distorted AlAlTe3 tetrahedra that share corners with two equivalent Al(2)AlTe3 tetrahedra, corners with two equivalent Al(3)AlTe3 tetrahedra, and corners with two equivalent Al(1)Te3I tetrahedra. The Al(2)-Al(3) bond length is 2.56 Å. The Al(2)-Te(1) bond length is 2.71 Å. Both Al(2)-Te(2) bond lengths are 2.70 Å. In the third Al site, Al(3) is bonded to one Al(2), one Te(2), and two equivalent Te(3) atoms to form distorted AlAlTe3 tetrahedra that share corners with two equivalent Al(2)AlTe3 tetrahedra, corners with two equivalent Al(3)AlTe3 tetrahedra, and corners with two equivalent Al(1)Te3I tetrahedra. The Al(3)-Te(2) bond length is 2.69 Å. Both Al(3)-Te(3) bond lengths are 2.72 Å. There are three inequivalent Te sites. In the first Te site, Te(1) is bonded in a distorted T-shaped geometry to one Al(2) and two equivalent Al(1) atoms. In the second Te site, Te(2) is bonded in a distorted T-shaped geometry to one Al(3) and two equivalent Al(2) atoms. In the third Te site, Te(3) is bonded in a distorted T-shaped geometry to one Al(1) and two equivalent Al(3) atoms. I(1) is bonded in a single-bond geometry to one Al(1) atom."
PbS,PbS crystallizes in the tetragonal P4/nmm space group. The structure is zero-dimensional and consists of two PbS clusters. Pb(1) is bonded in a single-bond geometry to one S(1) atom. The Pb(1)-S(1) bond length is 2.69 Å. S(1) is bonded in a single-bond geometry to one Pb(1) atom.
HfTe2,"HfTe2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one HfTe2 sheet oriented in the (0, 0, 1) direction. Hf(1) is bonded to six equivalent Te(1) atoms to form edge-sharing HfTe6 octahedra. All Hf(1)-Te(1) bond lengths are 2.89 Å. Te(1) is bonded in a distorted T-shaped geometry to three equivalent Hf(1) atoms."
PdS2,"PdS2 crystallizes in the monoclinic P2_1/c space group. The structure is two-dimensional and consists of one PdS2 sheet oriented in the (0, 0, 1) direction. Pd(1) is bonded in a square co-planar geometry to four equivalent S(1) atoms. There are two shorter (2.33 Å) and two longer (2.34 Å) Pd(1)-S(1) bond lengths. S(1) is bonded in a trigonal non-coplanar geometry to two equivalent Pd(1) and one S(1) atom. The S(1)-S(1) bond length is 2.11 Å."
P2Se5,"P2Se5 is Indium-like structured and crystallizes in the monoclinic Cm space group. The structure is zero-dimensional and consists of two diphosphorus pentaselenide molecules. There are two inequivalent P sites. In the first P site, P(1) is bonded in a distorted water-like geometry to two equivalent Se(2) atoms. Both P(1)-Se(2) bond lengths are 2.28 Å. In the second P site, P(2) is bonded in a distorted trigonal non-coplanar geometry to one Se(1) and two equivalent Se(3) atoms. The P(2)-Se(1) bond length is 2.30 Å. Both P(2)-Se(3) bond lengths are 2.27 Å. There are three inequivalent Se sites. In the first Se site, Se(1) is bonded in a single-bond geometry to one P(2) atom. In the second Se site, Se(2) is bonded in a water-like geometry to one P(1) and one Se(3) atom. The Se(2)-Se(3) bond length is 2.44 Å. In the third Se site, Se(3) is bonded in a water-like geometry to one P(2) and one Se(2) atom."
As2S3,"As2S3 crystallizes in the triclinic P1 space group. The structure is two-dimensional and consists of one As2S3 sheet oriented in the (0, 0, 1) direction. There are four inequivalent As sites. In the first As site, As(1) is bonded in a 3-coordinate geometry to one S(1), one S(2), and one S(3) atom. The As(1)-S(1) bond length is 2.33 Å. The As(1)-S(2) bond length is 2.34 Å. The As(1)-S(3) bond length is 2.29 Å. In the second As site, As(2) is bonded in a 3-coordinate geometry to one S(1), one S(4), and one S(5) atom. The As(2)-S(1) bond length is 2.32 Å. The As(2)-S(4) bond length is 2.28 Å. The As(2)-S(5) bond length is 2.31 Å. In the third As site, As(3) is bonded in a 3-coordinate geometry to one S(2), one S(3), and one S(6) atom. The As(3)-S(2) bond length is 2.28 Å. The As(3)-S(3) bond length is 2.34 Å. The As(3)-S(6) bond length is 2.33 Å. In the fourth As site, As(4) is bonded in a distorted trigonal non-coplanar geometry to one S(4), one S(5), and one S(6) atom. The As(4)-S(4) bond length is 2.33 Å. The As(4)-S(5) bond length is 2.28 Å. The As(4)-S(6) bond length is 2.32 Å. There are six inequivalent S sites. In the first S site, S(1) is bonded in an L-shaped geometry to one As(1) and one As(2) atom. In the second S site, S(2) is bonded in an L-shaped geometry to one As(1) and one As(3) atom. In the third S site, S(3) is bonded in an L-shaped geometry to one As(1) and one As(3) atom. In the fourth S site, S(4) is bonded in a water-like geometry to one As(2) and one As(4) atom. In the fifth S site, S(5) is bonded in a water-like geometry to one As(2) and one As(4) atom. In the sixth S site, S(6) is bonded in a water-like geometry to one As(3) and one As(4) atom."
P,P crystallizes in the orthorhombic Pmna space group. The structure is zero-dimensional and consists of two diphosphane molecules. P(1) is bonded in a single-bond geometry to one P(1) atom. The P(1)-P(1) bond length is 2.27 Å.
SnTiO3,"SnTiO3 crystallizes in the trigonal P-3 space group. The structure is two-dimensional and consists of one SnTiO3 sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to six equivalent O(1) atoms to form edge-sharing TiO6 octahedra. There are three shorter (1.95 Å) and three longer (1.99 Å) Ti(1)-O(1) bond lengths. Sn(1) is bonded in a distorted T-shaped geometry to three equivalent O(1) atoms. All Sn(1)-O(1) bond lengths are 2.15 Å. O(1) is bonded in a distorted trigonal planar geometry to two equivalent Ti(1) and one Sn(1) atom."
LuHCl,"LuHCl crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one LuHCl sheet oriented in the (0, 0, 1) direction. Lu(1) is bonded in a 7-coordinate geometry to four equivalent H(1) and three equivalent Cl(1) atoms. There is one shorter (2.12 Å) and three longer (2.15 Å) Lu(1)-H(1) bond lengths. All Lu(1)-Cl(1) bond lengths are 2.68 Å. H(1) is bonded to four equivalent Lu(1) atoms to form a mixture of corner and edge-sharing HLu4 tetrahedra. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Lu(1) atoms."
