material_id,formula,structure,description,band_gap,volume,is_gap_direct
mp-35925,NiO2,"Full Formula (Ni1 O2)
Reduced Formula: NiO2
abc   : 2.804258 2.804258 7.159753
angles: 78.706520 78.706520 60.000010
pbc   : True True True
Sites (3)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ni   0.000000 0.000000 0.000000   0.001
1   O    0.621211 0.621211 0.136367    -0.0
2   O    0.378789 0.378789 0.863633    -0.0","NiO2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one NiO2 sheet oriented in the (0, 0, 1) direction. Ni(1) is bonded to six equivalent O(1) atoms to form edge-sharing NiO6 octahedra. All Ni(1)-O(1) bond lengths are 1.88 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent Ni(1) atoms.",,47.497065677324365,
mp-27934,CdBr2,"Full Formula (Cd2 Br4)
Reduced Formula: CdBr2
abc   : 4.019520 4.019520 12.935683
angles: 90.000000 90.000000 120.000008
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Cd   0.666667 0.333333 0.875013     0.0
1   Cd   0.333333 0.666667 0.375013     0.0
2   Br   0.000000 0.000000 0.754125     0.0
3   Br   0.000000 0.000000 0.254125     0.0
4   Br   0.333333 0.666667 0.995861    -0.0
5   Br   0.666667 0.333333 0.495861    -0.0","CdBr2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CdBr2 sheet oriented in the (0, 0, 1) direction. Cd(1) is bonded to six equivalent Br(1) atoms to form edge-sharing CdBr6 octahedra. All Cd(1)-Br(1) bond lengths are 2.81 脜. Br(1) is bonded in a distorted T-shaped geometry to three equivalent Cd(1) atoms.",,180.99573938462044,
mp-990424,C,"Full Formula (C4)
Reduced Formula: C
abc   : 2.456228 2.456227 24.133960
angles: 90.027267 89.972730 119.999838
pbc   : True True True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   C    0.000587 0.999413 0.515004    -0.0
1   C    0.999415 0.000585 0.655941     0.0
2   C    0.666086 0.333914 0.655948    -0.0
3   C    0.333912 0.666088 0.514997     0.0","CrGeTe3 crystallizes in the trigonal P-31m space group. The structure is two-dimensional and consists of one CrGeTe3 sheet oriented in the (0, 0, 1) direction. Cr(1) is bonded to six equivalent Te(1) atoms to form CrTe6 octahedra that share corners with six equivalent Ge(1)GeTe3 tetrahedra and edges with three equivalent Cr(1)Te6 octahedra. All Cr(1)-Te(1) bond lengths are 2.78 脜. Ge(1) is bonded to one Ge(1) and three equivalent Te(1) atoms to form GeGeTe3 tetrahedra that share corners with six equivalent Cr(1)Te6 octahedra. The corner-sharing octahedral tilt angles are 79掳. The Ge(1)-Ge(1) bond length is 2.42 脜. All Ge(1)-Te(1) bond lengths are 2.63 脜. Te(1) is bonded in a 3-coordinate geometry to two equivalent Cr(1) and one Ge(1) atom.",,126.09476181343716,
mp-754720,CoO2,"Full Formula (Co2 O4)
Reduced Formula: CoO2
abc   : 10.512607 10.512607 10.512607
angles: 15.445696 15.445696 15.445693
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Co   0.000000 0.000000 0.000000   0.673
1   Co   0.500000 0.500000 0.500000   0.651
2   O    0.636447 0.636447 0.636447   0.141
3   O    0.197294 0.197294 0.197294   0.154
4   O    0.802706 0.802706 0.802706   0.154
5   O    0.363553 0.363553 0.363553   0.141","Lix0CoO2 is trigonal omega-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one Lix0CoO2 sheet oriented in the (0, 0, 1) direction. Co(1) is bonded to six equivalent O(1) atoms to form edge-sharing CoO6 octahedra. All Co(1)-O(1) bond lengths are 1.88 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent Co(1) atoms.",,71.7971837569174,
mp-569595,PbI2,"Full Formula (Pb2 I4)
Reduced Formula: PbI2
abc   : 15.035165 15.035165 15.035166
angles: 17.725421 17.725421 17.725418
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Pb   0.416953 0.416953 0.416953     0.0
1   Pb   0.583047 0.583047 0.583047     0.0
2   I    0.874505 0.874505 0.874505     0.0
3   I    0.125495 0.125495 0.125495     0.0
4   I    0.708442 0.708442 0.708442    -0.0
5   I    0.291558 0.291558 0.291558    -0.0","PbI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one PbI2 sheet oriented in the (0, 0, 1) direction. Pb(1) is bonded to six equivalent I(1) atoms to form edge-sharing PbI6 octahedra. All Pb(1)-I(1) bond lengths are 3.25 脜. I(1) is bonded in a distorted T-shaped geometry to three equivalent Pb(1) atoms.",,275.01280845105435,
mp-1072088,TiS2,"Full Formula (Ti2 S4)
Reduced Formula: TiS2
abc   : 3.410792 5.435823 6.130934
angles: 90.000000 90.000000 90.000000
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ti   0.500000 0.500000 0.500000    -0.0
1   Ti   0.000000 0.000000 0.000000    -0.0
2   S    0.500000 0.746983 0.155538     0.0
3   S    0.500000 0.253017 0.844462     0.0
4   S    0.000000 0.246983 0.344462     0.0
5   S    0.000000 0.753017 0.655538     0.0","TiS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TiS2 sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to six equivalent S(1) atoms to form edge-sharing TiS6 octahedra. All Ti(1)-S(1) bond lengths are 2.43 脜. S(1) is bonded in a distorted T-shaped geometry to three equivalent Ti(1) atoms.",,113.67034641026817,
mp-1226115,CoO2,"Full Formula (Co1 O2)
Reduced Formula: CoO2
abc   : 3.159594 3.167929 18.892487
angles: 105.922916 90.000000 60.086993
pbc   : True True True
Sites (3)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Co   0.779263 0.941475 0.520923   1.795
1   O    0.079667 0.340666 0.552978  -0.008
2   O    0.891070 0.717859 0.426100   0.132","Lix0CoO2 is trigonal omega-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one Lix0CoO2 sheet oriented in the (0, 0, 1) direction. Co(1) is bonded to six equivalent O(1) atoms to form edge-sharing CoO6 octahedra. All Co(1)-O(1) bond lengths are 1.88 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent Co(1) atoms.",,155.4837253241949,
mp-27785,TiBr2,"Full Formula (Ti1 Br2)
Reduced Formula: TiBr2
abc   : 3.881382 3.881382 6.423531
angles: 90.000000 90.000000 120.000005
pbc   : True True True
Sites (3)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ti   -0.000000 -0.000000 0.000000   1.702
1   Br   0.333333 0.666667 0.234880  -0.003
2   Br   0.666667 0.333333 0.765120  -0.003","TiBr2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TiBr2 sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to six equivalent Br(1) atoms to form edge-sharing TiBr6 octahedra. All Ti(1)-Br(1) bond lengths are 2.67 脜. Br(1) is bonded in a distorted T-shaped geometry to three equivalent Ti(1) atoms.",,83.80640612286656,
mp-23218,AsI3,"Full Formula (As2 I6)
Reduced Formula: AsI3
abc   : 8.370990 8.370990 8.370991
angles: 52.345180 52.345197 52.345186
pbc   : True True True
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   As   0.190128 0.190128 0.190128    -0.0
1   As   0.809872 0.809872 0.809872    -0.0
2   I    0.435724 0.060253 0.756998    -0.0
3   I    0.756998 0.435724 0.060253    -0.0
4   I    0.060253 0.756998 0.435724    -0.0
5   I    0.564276 0.939747 0.243002    -0.0
6   I    0.243002 0.564276 0.939747    -0.0
7   I    0.939747 0.243002 0.564276    -0.0","AsI3 is Bismuth triodide-like structured and crystallizes in the trigonal P-3 space group. The structure is two-dimensional and consists of one AsI3 sheet oriented in the (0, 0, 1) direction. As(1) is bonded to six equivalent I(1) atoms to form edge-sharing AsI6 octahedra. There are three shorter (2.88 脜) and three longer (2.91 脜) As(1)-I(1) bond lengths. I(1) is bonded in an L-shaped geometry to two equivalent As(1) atoms.",,340.2057580755575,
mp-625152,AlHO2,"Full Formula (Al4 H4 O8)
Reduced Formula: AlHO2
abc   : 4.385998 9.387070 2.838018
angles: 90.000000 90.000000 90.000000
pbc   : True True True
Sites (16)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Al   0.450584 0.356631 0.250000     0.0
1   Al   0.049416 0.856631 0.250000     0.0
2   Al   0.549416 0.643369 0.750000     0.0
3   Al   0.950584 0.143369 0.750000     0.0
4   H    0.089376 0.590863 0.250000    -0.0
5   H    0.410624 0.090863 0.250000    -0.0
6   H    0.910624 0.409137 0.750000    -0.0
7   H    0.589376 0.909137 0.750000    -0.0
8   O    0.795035 0.697731 0.250000    -0.0
9   O    0.704965 0.197731 0.250000    -0.0
10  O    0.204965 0.302269 0.750000    -0.0
11  O    0.295035 0.802269 0.750000    -0.0
12  O    0.304174 0.554662 0.250000    -0.0
13  O    0.195826 0.054662 0.250000    -0.0
14  O    0.695826 0.445338 0.750000    -0.0
15  O    0.804174 0.945338 0.750000    -0.0","AlOOH crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one AlOOH sheet oriented in the (0, 0, 1) direction. Al(1) is bonded to two equivalent O(1) and four equivalent O(2) atoms to form a mixture of corner and edge-sharing AlO6 octahedra. The corner-sharing octahedral tilt angles are 23掳. Both Al(1)-O(1) bond lengths are 1.90 脜. There are two shorter (1.89 脜) and two longer (1.95 脜) Al(1)-O(2) bond lengths. H(1) is bonded in a single-bond geometry to one O(1) atom. The H(1)-O(1) bond length is 0.97 脜. There are two inequivalent O sites. In the first O site, O(1) is bonded in a distorted trigonal planar geometry to two equivalent Al(1) and one H(1) atom. In the second O site, O(2) is bonded to four equivalent Al(1) atoms to form a mixture of corner and edge-sharing OAl4 trigonal pyramids.",,116.84593209084947,
